,town_name,station_name,station_id,longitude,latitude
1,莲都区,丽_D_莲都邮电新村局,9101,119.9212646484,28.4517887323
2,莲都区,丽_D_莲都银苑局,9102,119.916801452637,28.4511850193055
3,莲都区,丽_D_莲都建行局,9103,119.916801452637,28.4511850193055
4,莲都区,丽_D_莲都晶都局,9104,119.916801452637,28.4511850193055
5,莲都区,丽_D_莲都明珠大酒店局,9105,119.916801452637,28.4511850193055
6,莲都区,丽_D_莲都钟楼局,9106,119.916801452637,28.4511850193055
7,莲都区,丽_D_莲都办证中心局,9107,119.916801452637,28.4511850193055
8,莲都区,丽_D_莲都老市府局,9108,119.916801452637,28.4511850193055
9,莲都区,丽_D_莲都粮油批发市场局,9109,119.916801452637,28.4511850193055
10,莲都区,丽_D_莲都水南局,910A,119.916801452637,28.4511850193055
11,莲都区,丽_D_莲都黄村局,910B,119.916801452637,28.4511850193055
12,莲都区,丽_D_莲都富岭局,910C,119.916801452637,28.4511850193055
13,莲都区,丽_D_莲都龙潭局,910D,119.916801452637,28.4511850193055
14,莲都区,丽_D_莲都皂树局,910E,119.916801452637,28.4511850193055
15,莲都区,丽_D_莲都双黄局,910F,119.916801452637,28.4511850193055
16,莲都区,丽_D_莲都莲城宾馆局,9110,119.916801452637,28.4511850193055
17,莲都区,丽_D_莲都中心医院局,9111,119.916801452637,28.4511850193055
18,莲都区,丽_D_莲都银场局,9113,119.916801452637,28.4511850193055
19,莲都区,丽_D_莲都丽东局,9114,119.916801452637,28.4511850193055
20,莲都区,丽_D_莲都天宁寺局,9115,119.916801452637,28.4511850193055
21,莲都区,丽_D_莲都区委局,9116,119.916801452637,28.4511850193055
22,莲都区,丽_D_莲都祝村局,9117,119.916801452637,28.4511850193055
23,莲都区,丽_D_莲都库坑局,9118,119.916801452637,28.4511850193055
24,莲都区,丽_D_莲都庞山局,9119,119.916801452637,28.4511850193055
25,莲都区,丽_D_莲都仙渡局,911A,119.916801452637,28.4511850193055
26,莲都区,丽_D_莲都雅里局,911B,119.916801452637,28.4511850193055
27,莲都区,丽_D_莲都西溪局,911C,119.916801452637,28.4511850193055
28,莲都区,丽_D_莲都双溪局,911D,119.916801452637,28.4511850193055
29,莲都区,丽_D_莲都太平局,911E,119.916801452637,28.4511850193055
30,莲都区,丽_D_莲都朱弄局,911F,119.916801452637,28.4511850193055
31,莲都区,丽_D_莲都郑地局,9120,119.916801452637,28.4511850193055
32,莲都区,丽_D_莲都柿树洋局,9121,119.916801452637,28.4511850193055
33,莲都区,丽_D_莲都大港头局,9122,119.916801452637,28.4511850193055
34,莲都区,丽_D_莲都陈店 局,9124,119.916801452637,28.4511850193055
35,莲都区,丽_D_莲都高溪局,9125,119.916801452637,28.4511850193055
36,莲都区,丽_D_莲都石牛局,9126,119.916801452637,28.4511850193055
37,莲都区,丽_D_莲都联城 局,9128,119.916801452637,28.4511850193055
38,莲都区,丽_D_莲都瑶畈局,9129,119.916801452637,28.4511850193055
39,莲都区,丽_D_莲都巨溪局,912A,119.916801452637,28.4511850193055
40,莲都区,丽_D_莲都吾赤口局,912B,119.916801452637,28.4511850193055
41,莲都区,丽_D_莲都丽新局,912C,119.916801452637,28.4511850193055
42,莲都区,丽_D_莲都老竹局,912D,119.916801452637,28.4511850193055
43,莲都区,丽_C_莲都碧湖局,912E,119.8114013672,28.3394388571
44,莲都区,丽_D_莲都军分区局,912F,119.916801452637,28.4511850193055
45,莲都区,丽_D_莲都松坑口局,9130,119.916801452637,28.4511850193055
46,莲都区,丽_D_莲都莲房局,9131,119.916801452637,28.4511850193055
47,莲都区,丽_D_莲都徐庄局,9133,119.916801452637,28.4511850193055
48,莲都区,丽_D_莲都九里 局,9135,119.916801452637,28.4511850193055
49,莲都区,丽_D_莲都技术学院局,9136,119.916801452637,28.4511850193055
50,莲都区,丽_D_莲都怡景花园局,9137,119.916801452637,28.4511850193055
51,莲都区,丽_D_莲都囿山路 局,9138,119.916801452637,28.4511850193055
52,莲都区,丽_D_莲都学院西校区局,9139,119.916801452637,28.4511850193055
53,莲都区,丽_D_莲都国税 局,913B,119.916801452637,28.4511850193055
54,莲都区,丽_D_莲都国家安全局,913C,119.916801452637,28.4511850193055
55,莲都区,丽_D_莲都农贸市场局,913D,119.916801452637,28.4511850193055
56,莲都区,丽_D_莲都风化局,913E,119.916801452637,28.4511850193055
57,莲都区,丽_D_莲都金田局,913F,119.916801452637,28.4511850193055
58,莲都区,丽_D_莲都海潮局,9140,119.916801452637,28.4511850193055
59,莲都区,丽_D_莲都同心局,9141,119.916801452637,28.4511850193055
60,莲都区,丽_D_莲都学院东校区局,9142,119.916801452637,28.4511850193055
61,莲都区,丽_D_莲都西站局,9143,119.916801452637,28.4511850193055
62,莲都区,丽_D_莲都南明宾馆局,9144,119.916801452637,28.4511850193055
63,莲都区,丽_D_莲都区公安局局,9145,119.916801452637,28.4511850193055
64,莲都区,丽_A_莲都城东局,9146,119.9362421036,28.4502794433
65,莲都区,丽_A_莲都城中局,9147,119.9172306061,28.4540526255
66,莲都区,丽_D_莲都水东新村局,9149,119.916801452637,28.4511850193055
67,莲都区,丽_D_莲都白云小区局,914A,119.916801452637,28.4511850193055
68,莲都区,丽_D_莲都平原局,914B,119.916801452637,28.4511850193055
69,莲都区,丽_D_莲都中溪局,914C,119.916801452637,28.4511850193055
70,莲都区,丽_D_莲都中堂局,914D,119.916801452637,28.4511850193055
71,莲都区,丽_D_莲都人民医院局,914E,119.916801452637,28.4511850193055
72,莲都区,丽_D_莲都库头局,914F,119.916801452637,28.4511850193055
73,莲都区,丽_D_莲都东苑小区局,9150,119.916801452637,28.4511850193055
74,莲都区,丽_D_莲都卫校局,9151,119.916801452637,28.4511850193055
